"ensembl_gene_id","entrezgene_id","external_gene_name","gene_biotype","baseMean","dispersion_gene_estimate","dispersion_fit","dispersion_final","description"
"ENSMUSG00000000001","14679","Gnai3","protein_coding",14663.0495113316,0.00140702932983733,0.00269987402728317,0.00227479347411126,"guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]"
"ENSMUSG00000000028","12544","Cdc45","protein_coding",2044.13661094627,0.00186709603648279,0.00407233084206807,0.00341539430284939,"cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]"
"ENSMUSG00000000031","14955","H19","lincRNA",93.6246661870114,0.141608714918395,0.0372969015565233,0.0567070655783008,"H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]"
"ENSMUSG00000000037","107815","Scml2","protein_coding",27.5971245129667,0.0716328655283971,0.12060399370316,0.109136255413313,"Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]"
"ENSMUSG00000000056","67608","Narf","protein_coding",1683.05639433146,0.000273951151466922,0.00441447259209666,0.00320770645808312,"nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"
"ENSMUSG00000000058","12390","Cav2","protein_coding",1444.08894440788,0.00912341032083417,0.00473499404353156,0.00605239396535374,"caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]"
"ENSMUSG00000000078","23849","Klf6","protein_coding",22021.682349457,0.00116238237313378,0.00262558352371746,0.00212817211458786,"Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"
"ENSMUSG00000000085","29871","Scmh1","protein_coding",3084.60702569927,0.000774632478356438,0.00353439443416062,0.00270744990549882,"sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]"
"ENSMUSG00000000088","12858","Cox5a","protein_coding",8046.08869123921,0.00477792879155762,0.00288270947920094,0.00374979411521394,"cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]"
"ENSMUSG00000000093","21385","Tbx2","protein_coding",97.2353156991839,0.00898025095738541,0.0360039507979419,0.0298827598029226,"T-box 2 [Source:MGI Symbol;Acc:MGI:98494]"
"ENSMUSG00000000126","216795","Wnt9a","protein_coding",165.334920688575,0.019028470020045,0.0221948011600648,0.0213560481265831,"wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]"
"ENSMUSG00000000127","14158","Fer","protein_coding",1565.45604763493,0.00147111472134526,0.00455997829595362,0.00373599137940801,"fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]"
"ENSMUSG00000000131","74204","Xpo6","protein_coding",10039.1196603801,0.00128262854239097,0.00280227457224619,0.00230880960320151,"exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]"
"ENSMUSG00000000134","209446","Tfe3","protein_coding",5784.10222158656,0.000133981242133304,0.00304115508184305,0.00204096624654477,"transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]"
"ENSMUSG00000000142","12006","Axin2","protein_coding",88.0980217176027,1e-08,0.0394812204968913,0.0297753907729792,"axin 2 [Source:MGI Symbol;Acc:MGI:1270862]"
"ENSMUSG00000000148","231841","Brat1","protein_coding",1360.60130803803,0.00711854205066861,0.00487351270985472,0.00548107690251519,"BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]"
"ENSMUSG00000000149","14673","Gna12","protein_coding",11489.0591679897,0.00409545202274133,0.00276129374228936,0.00319039361940772,"guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]"
"ENSMUSG00000000167","72614","Pih1d2","protein_coding",31.4250937101905,1e-08,0.106214716377374,0.080905028719652,"PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]"
"ENSMUSG00000000168","235339","Dlat","protein_coding",4588.14872485898,0.00173657380846304,0.00318806523419943,0.00277542833960162,"dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]"
"ENSMUSG00000000171","66925","Sdhd","protein_coding",8657.57667478807,0.00806323272907282,0.00285409289930063,0.00440304844117504,"succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]"
"ENSMUSG00000000184","12444","Ccnd2","protein_coding",19603.6406763506,0.00103805080913138,0.002643842966357,0.00209050399404442,"cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]"
"ENSMUSG00000000194","277463","Gpr107","protein_coding",3285.95488631088,0.00484077488490227,0.00346963596970105,0.00396227574589441,"G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]"
"ENSMUSG00000000223","13497","Drp2","protein_coding",54.7622691935506,0.0915527031811878,0.0620066787144887,0.0682805469729705,"dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]"
"ENSMUSG00000000253","66355","Gmpr","protein_coding",198.215169412153,0.0170644294012688,0.0189240720397647,0.018483962506173,"guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]"
"ENSMUSG00000000266","23947","Mid2","protein_coding",1068.21026120067,0.00289649013670381,0.0055293368574327,0.00481054796771276,"midline 2 [Source:MGI Symbol;Acc:MGI:1344333]"
"ENSMUSG00000000275","217069","Trim25","protein_coding",9373.4548443743,0.0006403201266383,0.00282533520625675,0.00208924242925895,"tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]"
"ENSMUSG00000000276","56077","Dgke","protein_coding",1068.52203629778,0.00318345907829478,0.0055284464020624,0.00484966672014764,"diacylglycerol kinase, epsilon [Source:MGI Symbol;Acc:MGI:1889276]"
"ENSMUSG00000000278","74617","Scpep1","protein_coding",33517.8560206343,0.000533352933529841,0.00257480997087317,0.00183357673513514,"serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]"
"ENSMUSG00000000282","17428","Mnt","protein_coding",8778.97581520717,0.00570065754495607,0.00284888591371493,0.00374126763571788,"max binding protein [Source:MGI Symbol;Acc:MGI:109150]"
"ENSMUSG00000000290","16414","Itgb2","protein_coding",36.0306532757528,0.127398764186409,0.0929546820429271,0.0993577406424686,"integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611]"
"ENSMUSG00000000295","69692","Hddc2","protein_coding",347.829564514138,0.00927110341756649,0.01184981292686,0.0112142059609127,"HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]"
"ENSMUSG00000000296","21987","Tpd52l1","protein_coding",98.224407250026,1e-08,0.0356663495762095,0.0254784765622299,"tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386]"
"ENSMUSG00000000301","18618","Pemt","protein_coding",142.07948957087,0.0239605751729001,0.0254221014598872,0.0250771404497654,"phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535]"
"ENSMUSG00000000317","12029","Bcl6b","protein_coding",1080.44238232737,0.00236576477307034,0.0054947863541037,0.00462684932130816,"B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]"
"ENSMUSG00000000325","11877","Arvcf","protein_coding",408.02343081102,0.00205164430395141,0.0104671650028421,0.00830542004980228,"armadillo repeat gene deleted in velocardiofacial syndrome [Source:MGI Symbol;Acc:MGI:109620]"
"ENSMUSG00000000326","12846","Comt","protein_coding",5447.1369997299,0.000972966032623964,0.00307602025165176,0.00243569394166542,"catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470]"
"ENSMUSG00000000339","66368","Rtca","protein_coding",3295.33359098291,0.00279146575165227,0.00346681243687338,0.00326175181671121,"RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]"
"ENSMUSG00000000340","13171","Dbt","protein_coding",3158.64122352495,0.00119268005369167,0.00350962345377226,0.00284529891176572,"dihydrolipoamide branched chain transacylase E2 [Source:MGI Symbol;Acc:MGI:105386]"
"ENSMUSG00000000346","23994","Dazap2","protein_coding",9849.51838372781,0.00166568075108489,0.00280852545847163,0.00244814219303613,"DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]"
"ENSMUSG00000000355","68995","Mcts1","protein_coding",758.883308274836,0.00649482860031687,0.00677326983187898,0.00670115522083369,"malignant T cell amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1916245]"
"ENSMUSG00000000374","216131","Trappc10","protein_coding",6083.10961908538,0.00333084946688556,0.00301345179532613,0.00311833858639264,"trafficking protein particle complex 10 [Source:MGI Symbol;Acc:MGI:1336209]"
"ENSMUSG00000000378","216527","Ccm2","protein_coding",3895.73369363646,0.00264475221935241,0.00331434992388291,0.00313193256344849,"cerebral cavernous malformation 2 [Source:MGI Symbol;Acc:MGI:2384924]"
"ENSMUSG00000000384","21379","Tbrg4","protein_coding",4877.87879231767,0.00285007686713192,0.00314586294213511,0.00310391172372738,"transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]"
"ENSMUSG00000000386","NA","Mx1","protein_coding",30.7982290517777,0.00722313549723478,0.108326174258289,0.0972896315587788,"MX dynamin-like GTPase 1 [Source:MGI Symbol;Acc:MGI:97243]"
"ENSMUSG00000000399","66108","Ndufa9","protein_coding",6892.59120259642,0.00344985386271786,0.00295051425423365,0.00331028305161115,"NADH:ubiquinone oxidoreductase subunit A9 [Source:MGI Symbol;Acc:MGI:1913358]"
"ENSMUSG00000000409","16818","Lck","protein_coding",528.86838348996,1e-08,0.00864156019599582,0.00651681656977175,"lymphocyte protein tyrosine kinase [Source:MGI Symbol;Acc:MGI:96756]"
"ENSMUSG00000000420","14423","Galnt1","protein_coding",3773.42459588473,0.0025002217630243,0.00334147336505171,0.00311634637415293,"polypeptide N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:894693]"
"ENSMUSG00000000439","67027","Mkrn2","protein_coding",1282.01645376679,0.0018611162112596,0.00502038008455984,0.00412998530664092,"makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]"
"ENSMUSG00000000441","110157","Raf1","protein_coding",5836.9393447399,0.000414527370892473,0.00303605321656395,0.00218242035940173,"v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847]"
"ENSMUSG00000000486","54204","45536","protein_coding",296.294483972287,0.0130814135855335,0.0134799490171635,0.0134008503494474,"septin 1 [Source:MGI Symbol;Acc:MGI:1858916]"
"ENSMUSG00000000489","18591","Pdgfb","protein_coding",17.0250677837545,0.0432970268714037,0.193956974221344,0.170945383179671,"platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]"
"ENSMUSG00000000530","11482","Acvrl1","protein_coding",26.7748054138912,0.0931789587069011,0.124231942790792,0.116911649042804,"activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]"
"ENSMUSG00000000531","56149","Grasp","protein_coding",2029.72497918518,0.00577912465068159,0.00408365424617299,0.00467873626866824,"GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein [Source:MGI Symbol;Acc:MGI:1860303]"
"ENSMUSG00000000532","11479","Acvr1b","protein_coding",1618.7112948156,0.00525718168651601,0.00449146685657094,0.00468943705046533,"activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]"
"ENSMUSG00000000538","216810","Tom1l2","protein_coding",7634.17680298734,0.00593580344707116,0.00290457039039883,0.00375256750192213,"target of myb1-like 2 (chicken) [Source:MGI Symbol;Acc:MGI:2443306]"
"ENSMUSG00000000552","29813","Zfp385a","protein_coding",1834.57921340959,0.00282400587594948,0.00425449694776833,0.00392055265468766,"zinc finger protein 385A [Source:MGI Symbol;Acc:MGI:1352495]"
"ENSMUSG00000000555","16402","Itga5","protein_coding",11199.3377350375,0.00242684227279149,0.00276863405867804,0.0026394601655341,"integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604]"
"ENSMUSG00000000560","14395","Gabra2","protein_coding",17.3049226677205,0.188104722514494,0.190860372571416,0.190304303545981,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2 [Source:MGI Symbol;Acc:MGI:95614]"
"ENSMUSG00000000561","70465","Wdr77","protein_coding",6080.17623446185,0.0038113742552026,0.00301371034152898,0.00330116214224655,"WD repeat domain 77 [Source:MGI Symbol;Acc:MGI:1917715]"
"ENSMUSG00000000563","11950","Atp5f1","protein_coding",25085.0231980801,0.00050019545434296,0.00260750590242521,0.00184958342583992,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1 [Source:MGI Symbol;Acc:MGI:1100495]"
"ENSMUSG00000000567","20682","Sox9","protein_coding",7516.96147189442,0.00981159546092037,0.0029112291117842,0.00486505715555547,"SRY (sex determining region Y)-box 9 [Source:MGI Symbol;Acc:MGI:98371]"
"ENSMUSG00000000568","11991","Hnrnpd","protein_coding",17971.4139998267,0.00855283681457678,0.00265894628732558,0.00427342673730708,"heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]"
"ENSMUSG00000000579","100040563","Dynlt1c","protein_coding",111.043148809655,1e-08,0.0318350583104707,0.0225361310183376,"dynein light chain Tctex-type 1C [Source:MGI Symbol;Acc:MGI:3807476]"
"ENSMUSG00000000581","57316","C1d","protein_coding",1235.62121852193,0.00596108133027683,0.00511585854057174,0.00534491486619097,"C1D nuclear receptor co-repressor [Source:MGI Symbol;Acc:MGI:1927354]"
"ENSMUSG00000000594","14667","Gm2a","protein_coding",262.964384721035,0.035530586670827,0.0148744764779313,0.0200834952731512,"GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]"
"ENSMUSG00000000600","79264","Krit1","protein_coding",1794.98414738352,0.00381935412920264,0.00429369413907212,0.00415532303024586,"KRIT1, ankyrin repeat containing [Source:MGI Symbol;Acc:MGI:1930618]"
"ENSMUSG00000000605","12727","Clcn4","protein_coding",2247.86388126252,0.0024697845800376,0.00392779345364488,0.00353897384203333,"chloride channel, voltage-sensitive 4 [Source:MGI Symbol;Acc:MGI:104571]"
"ENSMUSG00000000628","15277","Hk2","protein_coding",6943.14057553504,0.00263928701904898,0.00294707084804476,0.00288030612614655,"hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]"
"ENSMUSG00000000631","360013","Myo18a","protein_coding",5315.61484693387,0.00293671026110336,0.0030908279673576,0.0031091672787225,"myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185]"
"ENSMUSG00000000632","20370","Sez6","protein_coding",13.7293603750566,0.136440481143049,0.239921253708563,0.212289462325345,"seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]"
"ENSMUSG00000000686","67477","Abhd15","protein_coding",30.2588398560103,0.00278941863829924,0.110213014753679,0.08937909786158,"abhydrolase domain containing 15 [Source:MGI Symbol;Acc:MGI:1914727]"
"ENSMUSG00000000690","15414","Hoxb6","protein_coding",34.7216405307863,1e-08,0.0963656878979672,0.075436066782107,"homeobox B6 [Source:MGI Symbol;Acc:MGI:96187]"
"ENSMUSG00000000693","16950","Loxl3","protein_coding",1530.4778257452,0.00589469228474783,0.00460757104277668,0.0050596177055845,"lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]"
"ENSMUSG00000000708","18519","Kat2b","protein_coding",1329.47433107152,0.00280609785826359,0.00492960937791241,0.0043952526094735,"K(lysine) acetyltransferase 2B [Source:MGI Symbol;Acc:MGI:1343094]"
"ENSMUSG00000000711","19344","Rab5b","protein_coding",6771.19155372431,0.000999938130025634,0.00295899395978598,0.00233056568036459,"RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]"
"ENSMUSG00000000730","54427","Dnmt3l","protein_coding",157.664642337302,0.0248290736064197,0.023154032117003,0.0234642544189054,"DNA (cytosine-5-)-methyltransferase 3-like [Source:MGI Symbol;Acc:MGI:1859287]"
"ENSMUSG00000000732","50723","Icosl","protein_coding",140.184321368693,0.0145552440454324,0.0257322915308499,0.0230947359964469,"icos ligand [Source:MGI Symbol;Acc:MGI:1354701]"
"ENSMUSG00000000738","234847","Spg7","protein_coding",3550.1892370563,0.000251780729397412,0.00339579674314448,0.00235519794423801,"SPG7, paraplegin matrix AAA peptidase subunit [Source:MGI Symbol;Acc:MGI:2385906]"
"ENSMUSG00000000740","270106","Rpl13","protein_coding",116717.35100504,0.00224953368356703,0.00250548016252853,0.00242696968712964,"ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922]"
"ENSMUSG00000000743","234852","Chmp1a","protein_coding",7046.02400550016,0.0106745395153844,0.00294021507676209,0.00500895628623376,"charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159]"
"ENSMUSG00000000751","68275","Rpa1","protein_coding",8018.1899602466,0.000969546333611574,0.00288411920372769,0.00226842531007204,"replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525]"
"ENSMUSG00000000753","20317","Serpinf1","protein_coding",29822.3283533763,0.00314425093743099,0.00258686226279361,0.00275465792886972,"serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]"
"ENSMUSG00000000759","259279","Tubgcp3","protein_coding",7199.41974517601,0.00431486121457171,0.00293035721672887,0.00334771410824072,"tubulin, gamma complex associated protein 3 [Source:MGI Symbol;Acc:MGI:2183752]"
"ENSMUSG00000000776","67065","Polr3d","protein_coding",3248.8663670712,0.00480799214722446,0.00348096146000229,0.00386865144573931,"polymerase (RNA) III (DNA directed) polypeptide D [Source:MGI Symbol;Acc:MGI:1914315]"
"ENSMUSG00000000782","21414","Tcf7","protein_coding",1139.92266517898,0.00105241611454757,0.00533734928823781,0.00413980191057137,"transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]"
"ENSMUSG00000000787","13205","Ddx3x","protein_coding",35681.0985944422,0.00352612455474348,0.00256891336995411,0.00310690792806423,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]"
"ENSMUSG00000000791","16161","Il12rb1","protein_coding",36.1385798941354,1e-08,0.0926844752183818,0.0696402678684612,"interleukin 12 receptor, beta 1 [Source:MGI Symbol;Acc:MGI:104579]"
"ENSMUSG00000000792","114479","Slc5a5","protein_coding",228.032588005999,0.0911856692576875,0.0167735336437185,0.0278870905917917,"solute carrier family 5 (sodium iodide symporter), member 5 [Source:MGI Symbol;Acc:MGI:2149330]"
"ENSMUSG00000000804","237898","Usp32","protein_coding",8502.18219454462,0.000238396252601805,0.00286097498057701,0.00193142653703409,"ubiquitin specific peptidase 32 [Source:MGI Symbol;Acc:MGI:2144475]"
"ENSMUSG00000000811","232223","Txnrd3","protein_coding",752.335632066907,0.00528982823172412,0.00681065604916704,0.00650547120422433,"thioredoxin reductase 3 [Source:MGI Symbol;Acc:MGI:2386711]"
"ENSMUSG00000000823","269401","Zfp512b","protein_coding",3010.79537394848,0.00347828588157898,0.00356030368188514,0.00365306922505216,"zinc finger protein 512B [Source:MGI Symbol;Acc:MGI:2685478]"
"ENSMUSG00000000826","13002","Dnajc5","protein_coding",7621.49298924433,0.0033989244467165,0.00290528104496463,0.00309695164520806,"DnaJ heat shock protein family (Hsp40) member C5 [Source:MGI Symbol;Acc:MGI:892995]"
"ENSMUSG00000000827","66314","Tpd52l2","protein_coding",6150.32115041783,0.00263732970525187,0.00300759538743989,0.00292323386546262,"tumor protein D52-like 2 [Source:MGI Symbol;Acc:MGI:1913564]"
"ENSMUSG00000000838","14265","Fmr1","protein_coding",5673.39028317273,0.00815603731664834,0.00305215341313867,0.00446181188890539,"fragile X mental retardation 1 [Source:MGI Symbol;Acc:MGI:95564]"
"ENSMUSG00000000869","16189","Il4","protein_coding",90.9822855635922,0.00724895124644459,0.0383081531386979,0.0318992848360271,"interleukin 4 [Source:MGI Symbol;Acc:MGI:96556]"
"ENSMUSG00000000876","59038","Pxmp4","protein_coding",260.900136799715,0.0165709498822886,0.014972561248229,0.0153489939546057,"peroxisomal membrane protein 4 [Source:MGI Symbol;Acc:MGI:1891701]"
"ENSMUSG00000000881","53310","Dlg3","protein_coding",1804.57830989366,0.00424275841445692,0.00428403848533933,0.0043552290969984,"discs large MAGUK scaffold protein 3 [Source:MGI Symbol;Acc:MGI:1888986]"
"ENSMUSG00000000884","13972","Gnb1l","protein_coding",323.508419274951,0.00486032764343062,0.0125544133561922,0.0106477190443604,"guanine nucleotide binding protein (G protein), beta polypeptide 1-like [Source:MGI Symbol;Acc:MGI:1338057]"
"ENSMUSG00000000901","17385","Mmp11","protein_coding",3043.09317083448,0.00734759837608406,0.00354881190005415,0.00447842984650496,"matrix metallopeptidase 11 [Source:MGI Symbol;Acc:MGI:97008]"
"ENSMUSG00000000902","20587","Smarcb1","protein_coding",3761.77271943242,0.00163360757582654,0.00334414931881646,0.00285619053430883,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:MGI Symbol;Acc:MGI:1328366]"
"ENSMUSG00000000915","29816","Hip1r","protein_coding",1015.93790860857,0.00589086843803037,0.00568635834888448,0.00574041149733379,"huntingtin interacting protein 1 related [Source:MGI Symbol;Acc:MGI:1352504]"
"ENSMUSG00000000916","100609","Nsun5","protein_coding",1554.59919097688,0.00827579862705767,0.00457452135444208,0.00557706916680064,"NOL1/NOP2/Sun domain family, member 5 [Source:MGI Symbol;Acc:MGI:2140844]"
"ENSMUSG00000000934","72960","Top1mt","protein_coding",1426.06622513802,0.00147774417446462,0.00476352377234425,0.0038586787259528,"DNA topoisomerase 1, mitochondrial [Source:MGI Symbol;Acc:MGI:1920210]"
"ENSMUSG00000000938","15395","Hoxa10","protein_coding",59.5650227834689,1e-08,0.0572068192681276,0.0410804437924698,"homeobox A10 [Source:MGI Symbol;Acc:MGI:96171]"
"ENSMUSG00000000957","17387","Mmp14","protein_coding",18140.4818382152,0.00221153671206611,0.00265725568720517,0.00250105731431497,"matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]"
"ENSMUSG00000000958","20540","Slc7a7","protein_coding",130.905355651363,0.00540665409024554,0.0273806576316581,0.0223606523807174,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 7 [Source:MGI Symbol;Acc:MGI:1337120]"
"ENSMUSG00000000959","69089","Oxa1l","protein_coding",2291.9216728802,0.00164224387099678,0.00389991530644705,0.00330057733936353,"oxidase assembly 1-like [Source:MGI Symbol;Acc:MGI:1916339]"
"ENSMUSG00000000976","217026","Heatr6","protein_coding",2859.46247874052,0.000843809903601953,0.00361760685369298,0.00275558863748542,"HEAT repeat containing 6 [Source:MGI Symbol;Acc:MGI:1919790]"
"ENSMUSG00000001016","67781","Ilf2","protein_coding",5706.5736621808,0.000817563505995548,0.00304881212843788,0.0023397192295945,"interleukin enhancer binding factor 2 [Source:MGI Symbol;Acc:MGI:1915031]"
"ENSMUSG00000001017","66511","Chtop","protein_coding",11275.8975176604,0.00139846072963437,0.00276665768895207,0.00231759600737856,"chromatin target of PRMT1 [Source:MGI Symbol;Acc:MGI:1913761]"
"ENSMUSG00000001018","20615","Snapin","protein_coding",1002.23181840899,0.0148890601394922,0.00573024063009577,0.0078533441151505,"SNAP-associated protein [Source:MGI Symbol;Acc:MGI:1333745]"
"ENSMUSG00000001020","20198","S100a4","protein_coding",4614.87193837057,0.0401296718258752,0.00318395087216924,0.0401296718258752,"S100 calcium binding protein A4 [Source:MGI Symbol;Acc:MGI:1330282]"
"ENSMUSG00000001021","20197","S100a3","protein_coding",43.1667930525741,0.0733902777980758,0.0779974101179223,0.0769806555246542,"S100 calcium binding protein A3 [Source:MGI Symbol;Acc:MGI:1338849]"
"ENSMUSG00000001023","20199","S100a5","protein_coding",10.6577578519944,0.107059867127033,0.30835334701892,0.261079166394713,"S100 calcium binding protein A5 [Source:MGI Symbol;Acc:MGI:1338915]"
"ENSMUSG00000001025","20200","S100a6","protein_coding",43106.6882499761,0.0133398901793542,0.00255317502598592,0.00535586020509265,"S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467]"
"ENSMUSG00000001027","110880","Scn4a","protein_coding",19.7859985435664,0.413375564081054,0.167238007705267,0.222714255230313,"sodium channel, voltage-gated, type IV, alpha [Source:MGI Symbol;Acc:MGI:98250]"
"ENSMUSG00000001034","23939","Mapk7","protein_coding",3398.3714229972,0.000881987577928888,0.00343681822556782,0.00261905296058646,"mitogen-activated protein kinase 7 [Source:MGI Symbol;Acc:MGI:1346347]"
"ENSMUSG00000001036","13855","Epn2","protein_coding",4133.07663176208,0.000998350188511624,0.00326629647557655,0.00258332812834625,"epsin 2 [Source:MGI Symbol;Acc:MGI:1333766]"
"ENSMUSG00000001039","27078","B9d1","protein_coding",320.187787530137,0.00762468331223512,0.0126589193807678,0.0114066632532752,"B9 protein domain 1 [Source:MGI Symbol;Acc:MGI:1351471]"
"ENSMUSG00000001052","99683","Sec24b","protein_coding",16364.6188915011,0.00269143282218903,0.00267675708290659,0.00271955019943419,"Sec24 related gene family, member B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2139764]"
"ENSMUSG00000001053","212706","N4bp3","protein_coding",778.416735752852,0.00408674701988355,0.00666547392955846,0.00599129897340993,"NEDD4 binding protein 3 [Source:MGI Symbol;Acc:MGI:2442218]"
"ENSMUSG00000001054","66089","Rmnd5b","protein_coding",1541.7935731224,0.00271057862440527,0.00459193809297047,0.00404844966145306,"required for meiotic nuclear division 5 homolog B [Source:MGI Symbol;Acc:MGI:1913339]"
"ENSMUSG00000001056","52530","Nhp2","protein_coding",5096.59505165398,0.00110165801451284,0.00311718282638871,0.00249635987478289,"NHP2 ribonucleoprotein [Source:MGI Symbol;Acc:MGI:1098547]"
"ENSMUSG00000001062","72325","Vps9d1","protein_coding",2358.62050191326,0.00124698979693123,0.00385969259608208,0.00305971506185742,"VPS9 domain containing 1 [Source:MGI Symbol;Acc:MGI:1914143]"
"ENSMUSG00000001065","57247","Zfp276","protein_coding",2045.34836338438,0.0045633079576596,0.00407138602515075,0.00416204558972818,"zinc finger protein (C2H2 type) 276 [Source:MGI Symbol;Acc:MGI:1888495]"
"ENSMUSG00000001082","68294","Mfsd10","protein_coding",3273.67984418892,0.00544302325353785,0.0034733559115666,0.004131389452606,"major facilitator superfamily domain containing 10 [Source:MGI Symbol;Acc:MGI:1915544]"
"ENSMUSG00000001089","269593","Luzp1","protein_coding",8859.11338697178,0.000576297999661515,0.00284552689031812,0.00208261337134886,"leucine zipper protein 1 [Source:MGI Symbol;Acc:MGI:107629]"
"ENSMUSG00000001098","330171","Kctd10","protein_coding",10608.2978669633,0.000480065538815104,0.00278485177473106,0.00198968601320622,"potassium channel tetramerisation domain containing 10 [Source:MGI Symbol;Acc:MGI:2141207]"
"ENSMUSG00000001100","67811","Poldip2","protein_coding",3138.2572634698,0.000294212591403555,0.00351632709372689,0.00251183503063457,"polymerase (DNA-directed), delta interacting protein 2 [Source:MGI Symbol;Acc:MGI:1915061]"
"ENSMUSG00000001105","55978","Ift20","protein_coding",2111.93780547827,0.000620763509762126,0.00402113233854782,0.00300193827416498,"intraflagellar transport 20 [Source:MGI Symbol;Acc:MGI:1915585]"
"ENSMUSG00000001119","12833","Col6a1","protein_coding",10811.4233972804,0.00220369029313418,0.00277907817205112,0.00260497756626452,"collagen, type VI, alpha 1 [Source:MGI Symbol;Acc:MGI:88459]"
"ENSMUSG00000001120","59093","Pcbp3","protein_coding",1293.68837281008,0.00169157263759519,0.00499743815428423,0.00407040327118879,"poly(rC) binding protein 3 [Source:MGI Symbol;Acc:MGI:1890470]"
"ENSMUSG00000001123","16859","Lgals9","protein_coding",925.843829783382,0.00630812719491098,0.00599860825006382,0.00607056251615104,"lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]"
